codice_articolo,famiglia,capitolo,sottocapitolo,descrizione,unita_misura,prezzo_senza_sg_ut,spese_generali,oneri_sicurezza_impresa,utile_impresa,prezzo_finale,quota_manodopera,incidenza_manodopera
SAR24_AT.0002.0012.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,"Attrezzatura di infissione aghi, aghi e punte filtranti","ATTREZZATURA di INFISSIONE AGHI costituita da una motopompa tipo JETTING J70-250 completa di accessori d’uso già funzionante in cantiere, escluso l’operatore, i consumi, i ricambi e gli oneri di manutenzione a giorno solare",giorno,38.23744,5.73562,0.08603,4.39731,48.37,,
SAR24_AT.0002.0013.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per trivellazioni,"""TRIVELLA OLEODINAMICA per esecuzione di prefiltri, già funzionante in cantiere, da applicare al braccio di adeguato escavatore, con attacchi da 3/4"""" F. GAS, con pressione max di esercizio di 180 Atm, escluso il nolo dell’escavatore, gli operatori, i consumi, i ricambi e gli oneri di manutenzione; valutata a giorno solare""",giorno,84.12236,12.61835,0.18928,9.67407,106.41,,
SAR24_AT.0002.0014.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per movimento materie e scavi,"""MACCHINA SPINGITUBO per scavo di cunicolo e di spinta del controtubo per attraversamenti con utilizzo di tecnologia """"Spingitubo Oleodinamica a coclee elicoidali"""" per tubi in acciaio del diametro dal Dn 300 al Dn 1500 mm, costituita da adeguata centralina idraulica, macchina spingitubo, coclea di estrazione e fresa a tutto diametro, già funzionante in cantiere, escluso gli operatori addetti, i consumi, i ricambi e gli oneri di manutenzione""",ora,114.22278,17.13342,0.257,13.13562,144.49,,
SAR24_AT.0002.0014.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario per movimento materie e scavi,"MACCHINA SPINGITUBO oleodinamica, dotata di sistema di spinta mediante martinetti idraulici di adeguata portata al diametro ed allo sforzo di spinta utilizzata per tubi di diametro ø 1600-2800. Sistema di smarino meccanico ottenuto attraverso nastro trasportatore/carrello elettrico, già funzionante in cantiere, escluso gli operatori addetti, i consumi, i ricambi e gli oneri di manutenzione",ora,125.64506,18.84676,0.2827,14.44918,158.94,,
SAR24_AT.0002.0015.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Compressore e motocompressore,NOLO A FREDDO DI COMPRESSORE A PISTOLA,ora,21.24544,3.18682,0.0478,2.44323,26.88,,
SAR24_AT.0002.0016.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,MARTELLI E MACCHINA TRACCIALINEE,MARTELLO BATTIPALO  ad aria compressa per l'impiego all'aperto,ora,43.91594,6.58739,0.09881,5.05033,55.55,,
SAR24_AT.0002.0016.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,MARTELLI E MACCHINA TRACCIALINEE,MARTELLO PERFORATORE,ora,39.1621,5.87432,0.08811,4.50364,49.54,,
SAR24_AT.0002.0016.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,MARTELLI E MACCHINA TRACCIALINEE,MACCHINA TRACCIALINEE SEMOVENTE PER LA POSA DELLA SEGNALETICA ORIZZONTALE,ora,45.61296,6.84194,0.10263,5.24549,57.7,,
SAR24_AT.0002.0017.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI SCLEROMETRO manuale o elettronico,ora,7.1362,1.07043,0.01606,0.82066,9.03,,
SAR24_AT.0002.0017.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzature per prove materiali,NOLO DI STRUMENTAZIONE per indagini soniche ed ultrasoniche,ora,34.26683,5.14002,0.0771,3.94068,43.35,,
