codice_analisi,codice_elemento,quantita,prezzo_unitario,importo
SAR24_AT.0002.0004.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,ATTREZZATURA DI PERFORAZIONE a rotazione per sondaggi geognostici. sia a carotaggio continuo. sia a distruzione di nucleo. già funzionante in cantiere. escluso il consumo di aste. manicotti. corone o punte. gli operatori. i consumi. i lubrificanti. i ricambi e gli oneri di manutenzione
SAR24_AT.0002.0004.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,ATTREZZATURA SEMOVENTE DI PERFORAZIONE di micropali. per l’esecuzione a rotazione a distruzione di nucleo. per diametri fino a 220 mm. con motore Diesel. già funzionante in cantiere. escluso il consumo di aste. manicotti e punte. gli operatori addetti. i consumi di carburanti e lubrificanti. i ricambi e gli oneri di manutenzione. ma compresa l’assicurazione
SAR24_AT.0002.0004.0005,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,ATTREZZATURA DI PERFORAZIONE ED INIEZIONE per consolidamenti colonnari tipo JET- GROUTING semovente. già funzionante in cantiere. esclusi gli operatori. i consumi di carburanti e lubrificanti. i ricambi e gli oneri di manutenzione e compreso l’assicurazione
SAR24_AT.0002.0004.0006,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di perforazione ed iniezione,ATTREZZATURA PER INIEZIONI di miscele cementizie. a doppio pistone ed azionamento ad aria compressa. completa di miscelatore azionato da motore elettrico. completa di m 50 di tubazione. escluse le valvole per i tubi. già funzionante in cantiere. escluso gli operatori addetti. i consumi. i ricambi e gli oneri di manutenzione. ma compresa l’assicurazione
SAR24_AT.0002.0005.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura vibrante,NOLO A FREDDO DI ATTREZZATURA VIBRANTE da montare su escavatore per infissione e svellimento di palancole
SAR24_AT.0002.0006.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Spruzzatrice per gunite,SPRUZZATRICE PER GUNITE (SPRITZ-BETON) azionata da motore elettrico da 37 KW. dotata di tramoggia per la miscela. di serbatoio per silicati. di pompe per acqua e per acceleranti. di tubazione e lancia. per produzioni fino a 25 m³/ora e spinta sul calcestruzzo fino a 70 BAR. già funzionante in cantiere. escluso gli operatori addetti. i consumi. i ricambi e gli oneri di manutenzione. ma compresa l’assicurazione
SAR24_AT.0002.0007.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura battipalo,ATTREZZATURA BATTIPALO per l’infissione di pali prefabbricati in CAC montata su escavatore attrezzato a traliccio. di adeguata potenza. già funzionante in cantiere. escluso l’operatore. i consumi di carburanti e lubrificanti. i ricambi e gli oneri di manutenzione. ma compresa l’assicurazione
SAR24_AT.0002.0008.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura per prove idrauliche,ATTREZZATURA PER PROVE IDRAULICHE. completa di tubazioni. di valvole e manometri. già funzionante in cantiere. escluso l’operatore. i consumi. i ricambi e gli oneri di manutenzione
SAR24_AT.0002.0009.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura per prove penetrometriche,ATTREZZATURA PENETROMETRICA con Penetrometro Dinamico Standard SCPT già funzionante in cantiere. escluso l’operatore. i consumi. i ricambi e gli oneri di manutenzione
SAR24_AT.0002.0010.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura per diaframmi,ATTREZZATURA PER DIAFRAMMI montato su escavatore cingolato. già funzionante in cantiere. escluso gli operatori. i consumi. i ricambi e gli oneri di manutenzione
SAR24_AT.0002.0011.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Materiale per tubazioni,"""COLLETTORE DI ASPIRAZIONE. costituito da tubazione in acciaio zincato da 6"""". con attacco rapido. già esistente in cantiere. valutato per 100 m di collettore a giorno solare"""
SAR24_AT.0002.0011.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Materiale per tubazioni,"""TUBAZIONE DI SCARICO. in acciaio zincato da 6"""". con attacco rapido. già esistente in cantiere. valutato per 20 m di tubazione a giorno solare"""
SAR24_AT.0002.0012.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Attrezzatura di infissione aghi. aghi e punte filtranti,AGHI o PUNTE FILTRANTI di lunghezza media m 400 più il filtro. già esistente in cantiere. valutato per n 70 punte a giorno solare
